1,45462527.3.12.2022,3.12.2022,45462527,,1,,104,78
2,45462528.3.13.2022,3.13.2022,45462528,,2,,105,16
3,45462529.3.14.2022,3.14.2022,45462529,,2,,106,28
4,45462530.3.15.2022,3.15.2022,45462530,,1,,109,20
5,45462531.3.16.2022,3.16.2022,45462531,,3,4.16.2022,110,72
6,45462532.3.17.2022,3.17.2022,45462532,,1,,104,8
7,45462533.3.18.2022,3.18.2022,45462533,,1,,105,48
8,45462534.3.19.2022,3.19.2022,45462534,,2,,106,48
9,hh124.3.20.2022,3.20.2022,,hh124,2,,109,78
10,fj24.3.21.2022,3.21.2022,,fj24,1,,110,16
11,8739.3.22.2022,3.22.2022,,8739,3,4.22.2022,104,78
12,37728.3.23.2022,3.23.2022,,37728,2,,105,160
13,34yy33.3.24.2022,3.24.2022,,34yy33,2,,106,28
14,874.3.25.2022,3.25.2022,,874,2,,109,20
15,ue379.3.26.2022,3.26.2022,,ue379,3,4.26.2022,110,72
16,45462542.3.27.2022,3.27.2022,45462542,,1,,104,8
17,45462543.3.28.2022,3.28.2022,45462543,,2,,105,48
18,45462531.3.29.2022,3.29.2022,45462531,,2,,106,48
19,45462532.3.30.2022,3.30.2022,45462532,,1,,109,78
20,45462533.3.31.2022,3.31.2022,45462533,,1,,110,16
21,45462534.4.1.2022,4.1.2022,45462534,,3,5.2.2022,104,78
22,45462535.4.2.2022,4.2.2022,45462535,,1,,105,16
23,hh124.4.3.2022,4.3.2022,,hh124,1,,106,28
24,fj24.4.4.2022,4.4.2022,,fj24,2,,109,20
25,8739.4.5.2022,4.5.2022,,8739,2,,110,72
26,37728.4.6.2022,4.6.2022,,37728,2,,104,8
27,34yy33.4.7.2022,4.7.2022,,34yy33,2,,105,48
28,874.4.8.2022,4.8.2022,,874,3,5.9.2022,106,48
29,ue379.4.9.2022,4.9.2022,,ue379,1,,109,78
30,45462556.4.10.2022,4.10.2022,45462556,,2,,110,16
31,45462557.4.11.2022,4.11.2022,45462557,,2,,104,78
32,45462558.4.12.2022,4.12.2022,45462558,,1,,105,16
33,45462559.4.13.2022,4.13.2022,45462559,,1,,106,28
34,45462579.4.14.2022,4.14.2022,45462579,,1,,109,20
35,45462580.4.15.2022,4.15.2022,45462580,,2,,110,72
36,45462581.4.16.2022,4.16.2022,45462581,,2,,104,8
37,45462582.4.17.2022,4.17.2022,45462582,,2,,105,48
38,hh124.4.18.2022,4.18.2022,,hh124,3,5.19.2022,106,48
39,fj24.4.19.2022,4.19.2022,,fj24,2,,109,78
40,8739.4.20.2022,4.20.2022,,8739,1,,110,16
41,37728.4.21.2022,4.21.2022,,37728,3,5.22.2022,104,78
42,34yy33.4.22.2022,4.22.2022,,34yy33,2,,105,16
43,874.4.23.2022,4.23.2022,,874,2,,106,28
44,ue379.4.24.2022,4.24.2022,,ue379,2,,109,20
45,45462534.4.25.2022,4.25.2022,45462534,,2,,110,72
46,45462535.4.26.2022,4.26.2022,45462535,,2,,104,8
47,45462536.4.27.2022,4.27.2022,45462536,,3,5.28.2022,105,48
48,45462537.4.28.2022,4.28.2022,45462537,,1,,106,48
49,45462575.4.29.2022,4.29.2022,45462575,,1,,109,78
50,45462576.4.30.2022,4.30.2022,45462576,,1,,110,16
