1,31
1,336
1,353
2,45
2,89
2,99
2,123
3,45
3,57
3,88
4,44
4,45
4,57
4,88
5,34
5,45
5,89
5,336
5,353
6,31
6,337
6,353
7,45
7,89
7,99
7,124
8,45
8,57
8,89
9,45
9,45
9,57
9,88
10,35
10,45
10,89
10,336
10,353
11,31
11,338
11,353
12,45
12,89
12,99
12,125
13,45
13,57
13,90
14,45
14,46
14,57
14,88
15,36
15,45
15,89
15,336
15,353
16,31
16,339
16,353
17,45
17,89
17,99
17,126
18,45
18,57
18,91
19,45
19,47
19,57
19,88
20,37
20,45
20,89
20,336
20,353
21,31
21,340
21,353
22,45
22,89
22,99
22,127
23,45
23,57
23,92
24,45
24,48
24,57
24,88
25,38
25,45
25,89
25,336
25,353
26,31
26,341
26,353
27,45
27,89
27,99
27,128
28,45
28,57
28,93
29,45
29,49
29,57
29,88
30,39
30,45
30,89
30,336
30,353
31,31
31,342
31,353
32,45
32,89
32,99
32,129
33,45
33,57
33,94
34,45
34,50
34,57
34,88
35,40
35,45
35,89
35,336
35,353
36,31
36,343
36,353
37,45
37,89
37,99
37,130
38,45
38,57
38,95
39,45
39,51
39,57
39,88
40,41
40,45
40,89
40,336
40,353
41,31
41,344
41,353
42,45
42,89
42,99
42,131
43,45
43,57
43,96
44,45
44,52
44,57
44,88
45,42
45,45
45,89
45,336
45,353
46,31
46,345
46,353
47,45
47,89
47,99
47,132
48,45
48,57
48,97
49,45
49,53
49,57
49,88
50,43
50,45
50,89
50,336
50,353
